dataset,source_paper,tracer,method,R_kpc,R_err_kpc,vc_kms,sigma_v_kms,mass_msun,sigma_mass_msun,kind,plotted,used_in_fit,note
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",16.74,,215.787,1.39,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",17.25,,216.41,1.44,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",17.25,,219.765,1.44,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",17.75,,213.7,2.22,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",17.75,,217.07,2.22,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",18.24,,207.89,1.76,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",18.24,,211.24,1.76,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",18.74,,209.6,2.31,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",18.74,,213.017,2.31,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",19.22,,206.45,2.54,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",19.22,,209.879,2.54,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",19.71,,201.91,2.99,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",19.71,,205.337,2.99,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",20.27,,199.84,3.15,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",20.27,,203.301,3.15,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",20.78,,198.14,3.33,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",20.78,,201.635,3.33,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",21.24,,195.3,5.99,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",21.24,,198.811,5.99,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",21.8,,213.67,15.38,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",21.8,,217.425,15.38,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",22.14,,176.97,28.58,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",22.14,,180.357,28.58,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",22.73,,193.11,27.64,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",22.73,,196.755,27.64,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",23.66,,176.63,18.67,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",23.66,,180.188,18.67,,,"direct_rotation",true,true,""
"Eilers2019_original_Gaia","Eilers et al. 2019","APOGEE/Gaia giants","published circular speed",24.82,,198.42,6.5,,,"direct_rotation",true,false,""
"Eilers2019_McGaugh2019_adjusted","Eilers et al. 2019; McGaugh 2019","APOGEE/Gaia giants","McGaugh-adjusted circular speed",24.82,,202.332,6.5,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",6.58,,242.92,1.25,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",7.49,,239.31,1.33,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",8.48,,236.54,0.86,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",9.5,,232.36,1.32,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",10.52,,229.97,1.13,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",11.42,,233.57,1.39,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",12.5,,233.38,1.3,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",13.5,,237.05,1.53,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",14.46,,237.11,1.31,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",15.21,,237,2.22,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",15.88,,231.03,1.95,,,"direct_rotation",true,true,""
"Feng2026_Cepheids","Feng et al. 2026","Gaia DR3 classical Cepheids","binned circular speed",17.58,,224.03,1.91,,,"direct_rotation",true,true,""
"Watkins2019_M39p5","Watkins et al. 2019","globular clusters","enclosed mass converted to circular speed",39.5,,213.84871,16.547817,4.2e+11,6.5e+10,"enclosed_mass",true,false,""
"Deason2021_M100","Deason et al. 2021","halo stars","enclosed mass converted to circular speed",100,,161.57527,16.560359,6.07e+11,1.2442669e+11,"enclosed_mass",true,false,""
"Bird2022_KG_Jeans_M73","Bird et al. 2022","K giants","Jeans M(<R)",73,,159.16711,20.795558,4.3e+11,1.1236103e+11,"bird2022_mass",true,false,"Only summary table values are used; the full binned Fig. 6 profile is not tabulated in the article text."
"Bird2022_BHB_Jeans_M52","Bird et al. 2022","BHB stars","Jeans M(<R)",52,,184.14961,30.129589,4.1e+11,1.3416408e+11,"bird2022_mass",true,false,"Only summary table values are used; the full binned Fig. 6 profile is not tabulated in the article text."
"Bird2022_KG_TME_M73","Bird et al. 2022","K giants","TME M(<R)",73,,159.16711,23.190212,4.3e+11,1.2529964e+11,"bird2022_mass",true,false,"Only summary table values are used; the full binned Fig. 6 profile is not tabulated in the article text."
"Bird2022_BHB_TME_M52","Bird et al. 2022","BHB stars","TME M(<R)",52,,172.55602,40.174528,3.6e+11,1.6763055e+11,"bird2022_mass",true,false,"Only summary table values are used; the full binned Fig. 6 profile is not tabulated in the article text."
"Bird2022_KG_Jeans_M200","Bird et al. 2022","K giants","Jeans M200 converted at r200",173,13,116.93347,17.013273,5.5e+11,1.5461639e+11,"bird2022_mass",true,false,"Only summary table values are used; the full binned Fig. 6 profile is not tabulated in the article text."
"Bird2022_BHB_Jeans_M200","Bird et al. 2022","BHB stars","Jeans M200 converted at r200",211,38,142.77077,39.589929,1e+12,5.2453857e+11,"bird2022_mass",true,false,"Only summary table values are used; the full binned Fig. 6 profile is not tabulated in the article text."
"Bird2022_KG_TME_M200","Bird et al. 2022","K giants","TME M200 converted at r200",162,5,110.5101,5.2686134,4.6e+11,4.15e+10,"bird2022_mass",true,false,"Only summary table values are used; the full binned Fig. 6 profile is not tabulated in the article text."
"Bird2022_BHB_TME_M200","Bird et al. 2022","BHB stars","TME M200 converted at r200",185,17,124.80503,17.278448,6.7e+11,1.75e+11,"bird2022_mass",true,false,"Only summary table values are used; the full binned Fig. 6 profile is not tabulated in the article text."
"Bird2022_digitized_KG_Jeans_R11","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 Jeans",11,,213,19,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_Jeans_R19","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 Jeans",19,,207,17,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_Jeans_R29","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 Jeans",29,,201,15,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_Jeans_R39","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 Jeans",39,,195,18,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_Jeans_R49","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 Jeans",49,,171,20,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_Jeans_R59","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 Jeans",59,,159,19,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_Jeans_R73","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 Jeans",73,,157,19,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_TME_R9","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 TME",9,,240,14,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_TME_R19","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 TME",19,,218,15,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_TME_R29","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 TME",29,,199,17,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_TME_R39","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 TME",39,,180,18,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_TME_R49","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 TME",49,,147,15,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_KG_TME_R59","Bird et al. 2022 Fig. 6","K giants","digitized Fig. 6 TME",59,,134,16,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_Jeans_R6","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 Jeans",6,,218,25,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_Jeans_R8","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 Jeans",8,,217,29,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_Jeans_R11","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 Jeans",11,,212,24,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_Jeans_R16","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 Jeans",16,,204,20,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_Jeans_R22","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 Jeans",22,,198,19,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_Jeans_R33","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 Jeans",33,,178,25,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_Jeans_R38","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 Jeans",38,,214,26,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_Jeans_R46","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 Jeans",46,,188,22,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_Jeans_R52","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 Jeans",52,,181,48,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_TME_R6","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 TME",6,,236,20,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_TME_R8","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 TME",8,,240,19,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_TME_R10","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 TME",10,,238,18,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_TME_R16","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 TME",16,,222,16,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_TME_R22","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 TME",22,,213,24,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_TME_R27","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 TME",27,,211,16,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_TME_R38","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 TME",38,,218,24,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Bird2022_digitized_BHB_TME_R52","Bird et al. 2022 Fig. 6","BHB stars","digitized Fig. 6 TME",52,,171,38,,,"bird2022_digitized_fig6",true,false,"Approximate digitization from arXiv source figure rgc-vcirc-lamost-sdss-Wang2020.pdf; not a published numeric table."
"Wang2020_Kafle2012_M60","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",60,,169.33039,14.816409,4e+11,7e+10,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Kafle2012_M80","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",80,,192.60169,29.308953,6.9e+11,2.1e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Kafle2012_M100","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",100,,172.26819,23.718084,6.9e+11,1.9e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Kafle2012_M200","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",200,,146.64442,16.864108,1e+12,2.3e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Kafle2012_M300","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",300,,142.17704,15.629391,1.41e+12,3.1e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Zhai2018_M120","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",120,,139.11911,21.898379,5.4e+11,1.7e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Bhattacharjee2014_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,196.74414,54.651149,4.5e+11,2.5e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Bhattacharjee2014_M100","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",100,,169.75319,57.640076,6.7e+11,4.55e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Deason2012b_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,203.19647,33.866078,4.8e+11,1.6e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Deason2012b_M100","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",100,,186.64788,48.39019,8.1e+11,4.2e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Huang2016_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,198.91817,6.4864621,4.6e+11,3e+10,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Huang2016_M100","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",100,,184.32918,8.1664826,7.9e+11,7e+10,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Huang2016_M200","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",200,,160.64092,10.040057,1.2e+12,1.5e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Deason2012_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,263.95996,22.811354,8.1e+11,1.4e+11,"wang2020_compilation_not_fit",true,false,"High-v point (>250 km/s); original source is the named literature entry compiled in Wang et al. 2020 Table A1."
"Wang2020_Deason2012_M100","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",100,,268.00246,36.910518,1.67e+12,4.6e+11,"wang2020_compilation_not_fit",true,false,"High-v point (>250 km/s); original source is the named literature entry compiled in Wang et al. 2020 Table A1."
"Wang2020_Deason2012_M200","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",200,,253.99559,48.682488,3e+12,1.15e+12,"wang2020_compilation_not_fit",true,false,"High-v point (>250 km/s); original source is the named literature entry compiled in Wang et al. 2020 Table A1."
"Wang2020_Watkins2010_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,215.5224,37.915978,5.4e+11,1.9e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Sakamoto2003_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,190.07289,9.0510902,4.2e+11,4e+10,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Eadie2015_M260","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",260,,150.54078,6.5930267,1.37e+12,1.2e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Eadie2016_M125","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",125,,134.01728,5.3914996,5.22e+11,4.2e+10,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Eadie2017_M125","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",125,,147.22983,12.853398,6.3e+11,1.1e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_WilliamsEvans2015_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,209.45013,24.641192,5.1e+11,1.2e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_EadieJuric2019_M25","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",25,,211.49359,32.537476,2.6e+11,8e+10,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_EadieJuric2019_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,178.40064,26.519014,3.7e+11,1.1e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_EadieJuric2019_M100","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",100,,150.97967,23.501553,5.3e+11,1.65e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Vasiliev2019_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,215.5224,18.957989,5.4e+11,9.5e+10,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Vasiliev2019_M100","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",100,,191.20093,29.804851,8.5e+11,2.65e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Newberg2010_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,157.94088,13.615593,2.9e+11,5e+10,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Newberg2010_M100","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",100,,132.79217,11.335917,4.1e+11,7e+10,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Hendel2018_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,180.79539,2.9736083,3.8e+11,1.25e+10,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Erkal2019_M50","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",50,,183.15882,27.004186,3.9e+11,1.15e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Fritz2020_M64","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",64,,197.42609,24.678262,5.8e+11,1.45e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
"Wang2020_Fritz2020_M273","Wang et al. 2020 Table A1","heterogeneous literature compilation","enclosed mass converted to circular speed",273,,150.09535,17.581099,1.43e+12,3.35e+11,"wang2020_compilation_not_fit",true,false,"Secondary compilation; original source encoded in label and in Wang et al. 2020 Table A1."
